,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
21,6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,Bryant Myers,7149772,1666.308403,0,88,185,https://i.scdn.co/image/ab6761610000e5eb5332f98f95b18ad1ffa4e0fc
22,6P6GTRTigHBp8ZesNtpCKH,Almighty,Almighty,415134,19065.79128,0,72,115,https://i.scdn.co/image/ab6761610000e5ebefd18d2fec23083d22c8ed09
23,3RtNN1VnooWEn3KQk03DUL,Noriel,Noriel,6061607,2956.033404,0,82,241,https://i.scdn.co/image/ab6761610000e5ebf67825837cb85a913d244d93
24,0GgyFUpOyzWDRDqx8FCTDN,Baby Rasta,Baby Rasta,1673148,3681.301361,0,52,242,https://i.scdn.co/image/ab6761610000e5eb0f73cca6e26220f7cc61d930
25,00XhexlJEXQstHimpZN910,Brytiago,Brytiago,5239032,3300.643361,0,90,332,https://i.scdn.co/image/ab6761610000e5eb32895c930900c81851cca0c3
26,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,Nicky Jam,17337859,6564.647951,1,135,310,https://i.scdn.co/image/ab6761610000e5eb143d99f40e7bb2cc471568c8
27,33ScadVnbm2X8kkUqOkC6Z,Don Omar,Don Omar,7596396,2667.687861,1,72,334,https://i.scdn.co/image/ab6761610000e5eb86d04a127819956aef61e351
28,1bAftSH8umNcGZ0uyV7LMg,Duki,Duki,6416620,26868.330746,2,93,201,https://i.scdn.co/image/ab6761610000e5eb9b2ccf4bc212d36ae64ee41a
29,2XcZshqzPKm3iZcmt73R8D,Pablo Chill-E,Pablo Chill-E,821976,7274.087357,2,51,100,https://i.scdn.co/image/ab6761610000e5ebb401229a5cefc692a9d2741d
30,1WMwuNKzEFtU6pPkdtryYS,Kendo Kaponi,Kendo Kaponi,929849,203.141166,0,41,71,https://i.scdn.co/image/ab6761610000e5eba6db079799d908caddf93b30
31,2OHKEe204spO7G7NcbeO2o,Ñejo,Ñejo,3200016,5169.51805,0,91,262,https://i.scdn.co/image/ab6761610000e5eba8e1d7cdd4f2225a8222080e
32,0AdjzZxHJ4MfbImx2rD0Df,Pj Sin Suela,Pj Sin Suela,56487,1271.082266,0,18,19,https://i.scdn.co/image/ab6761610000e5eb12ad0670161e7c325becf32f
33,2ydZrTy8U3kOMOzx20s3dg,DJ Nelson,DJ Nelson,984219,1626.795648,0,52,172,https://i.scdn.co/image/ab6761610000e5ebda2b089ce40b8a1610acf988
34,4axKuDPr6WKcDCyh8vueTY,Luar La L,Luar La L,174750,1524.816589,0,52,66,https://i.scdn.co/image/ab6761610000e5eb7d6d3f7322438ce894c0ca7e
35,00me4Ke1LsvMxt5kydlMyU,Cosculluela,Cosculluela,4756422,1723.606896,0,90,146,https://i.scdn.co/image/ab6761610000e5ebf9f2283d080e3581a63daf79
36,7iK8PXO48WeuP03g8YR51W,Myke Towers,Myke Towers,9140387,3496.518485,0,121,257,https://i.scdn.co/image/ab6761610000e5eb9b7677e5bdee54a0ae0c8262
37,21451j1KhjAiaYKflxBjr1,Zion & Lennox,Zion & Lennox,6535701,3773.444608,0,115,313,https://i.scdn.co/image/ab6761610000e5ebe6cd34548bf23eb55ca44615
38,6p2442ymrT9lZEuCZJdYcH,Ivy Queen,Ivy Queen,1833686,1327.842731,1,32,36,https://i.scdn.co/image/ab6761610000e5eba930c6844963452e8f1402aa
39,3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto,De La Ghetto,6066404,6945.266233,0,141,368,https://i.scdn.co/image/ab6761610000e5eb24a84b4f14311bc1cb3d7c6c
40,2wYOpkTJZGByNEOjEnSmoW,Revol,Revol,717226,107.854152,0,28,32,https://i.scdn.co/image/ab6761610000e5eb1f3bde2589342bcfbd35eb52
41,1pgDilWYDWLoOgGjf1iHNu,Zion,Zion,3073963,1697.578966,0,80,242,https://i.scdn.co/image/01b740506d62b329302d55078eb8dc49d32a4f8b
42,2TjgzYcbTdsZjbT9OItIeB,"Héctor ""El Father""","Héctor ""El Father""",500340,558.36271,1,41,88,https://i.scdn.co/image/fb6f6b52082b66ee883bccf31fec0640e901ef25
43,1RBzGO6Nm3uyhUSxP7EDWO,Kevin Roldan,Kevin Roldan,4874621,4936.108226,0,54,168,https://i.scdn.co/image/ab6761610000e5ebee017c13085fa55d3f1af348
44,3tZdknQnzsVIIdaGCTj4RX,Quimico Ultra Mega,Quimico Ultra Mega,232626,4138.742977,0,50,84,https://i.scdn.co/image/ab6761610000e5eb85d4ffd02837c1a0467e7f0a
